codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0790,Financiamentos com interveniência,Financiamento de projeto,PF,Com destinação específica,PF - Outros créditos,,,base,
0790,Financiamentos com interveniência,Financiamento de projeto,PJ,Sem destinação específica,PJ - Investimento,,,base,
0790,Financiamentos com interveniência,Financiamento de projeto,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0799,Financiamentos com interveniência,Outros financiamentos com interveniência,PF,Sem destinação específica,PF - Outros créditos,,,base,
0799,Financiamentos com interveniência,Outros financiamentos com interveniência,PF,Com destinação específica,PF - Outros créditos,,,base,
0799,Financiamentos com interveniência,Outros financiamentos com interveniência,PJ,Sem destinação específica,PJ - Investimento,,,base,
0799,Financiamentos com interveniência,Outros financiamentos com interveniência,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0801,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Custeio,PF,Sem destinação específica,PF - Rural e agroindustrial,,,base,
0801,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Custeio,PF,Com destinação específica,PF - Rural e agroindustrial,,,base,
0801,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Custeio,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0801,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Custeio,PJ,Com destinação específica,PJ - Rural e agroindustrial,,,base,
0802,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Investimento,PF,Sem destinação específica,PF - Rural e agroindustrial,,,base,
0802,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Investimento,PF,Com destinação específica,PF - Rural e agroindustrial,,,base,
0802,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Investimento,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0802,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Investimento,PJ,Com destinação específica,PJ - Rural e agroindustrial,,,base,
0803,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Comercialização,PF,Sem destinação específica,PF - Rural e agroindustrial,,,base,
0803,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Comercialização,PF,Com destinação específica,PF - Rural e agroindustrial,,,base,
0803,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Comercialização,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0803,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Comercialização,PJ,Com destinação específica,PJ - Rural e agroindustrial,,,base,
0804,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Industrialização,PF,Sem destinação específica,PF - Rural e agroindustrial,,,base,
0804,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Industrialização,PF,Com destinação específica,PF - Rural e agroindustrial,,,base,
0804,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Industrialização,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
